RegionID,State,City,CountyName,MeanValue
91982,TX,Katy,Fort Bend County,484004.7385403994
61148,NJ,Lakewood,Ocean County,712498.8270408997
91940,TX,Katy,Harris County,275027.6542985451
62080,NY,New York,Queens County,875374.4859381964
91733,TX,Houston,Harris County,270057.6626748236
93144,TX,El Paso,El Paso County,205962.35672215885
62093,NY,New York,Queens County,819514.9428293062
92593,TX,Pflugerville,Travis County,405378.1527105424
62019,NY,New York,Kings County,667033.6186
95992,CA,Los Angeles,Los Angeles County,579996.8962383559
91926,TX,Cypress,Harris County,426687.38735651464
84630,IL,Chicago,Cook County,233908.4748137258
96193,CA,Norwalk,Los Angeles County,698369.4966023238
96361,CA,Los Angeles,Los Angeles County,691853.0721713724
74101,TN,Nashville,Davidson County,364164.06399172527
62046,NY,New York,Kings County,665805.7309352829
61807,NY,New York,Bronx County,596805.7597
62085,NY,New York,Queens County,928348.5439902804
62037,NY,New York,Kings County,1111042.3428109156
62018,NY,New York,Kings County,619173.0351246729
70829,GA,Lawrenceville,Gwinnett County,353960.8110288712
96025,CA,Los Angeles,Los Angeles County,611510.7753
96817,CA,Fontana,San Bernardino County,670590.8721115534
97771,CA,Pittsburg,Contra Costa County,579868.9202360543
92036,TX,League City,Galveston County,377716.94732642866
96816,CA,Fontana,San Bernardino County,523716.81090529583
96083,CA,Bell,Los Angeles County,640425.8640128706
96107,CA,Hawthorne,Los Angeles County,849314.1314683753
61639,NY,New York,New York County,1188848.9855581517
90654,TX,Grand Prairie,Dallas County,330381.1578964942
96239,CA,Long Beach,Los Angeles County,657929.5376350243
62025,NY,New York,Kings County,1008696.9700572925
84620,IL,Chicago,Cook County,572564.6865757072
97223,CA,Bakersfield,Kern County,288742.66742842447
96125,CA,South Gate,Los Angeles County,637194.0578831196
62044,NY,New York,Kings County,746843.1604993817
96368,CA,Los Angeles,Los Angeles County,768941.8513494477
96990,CA,Westminster,Orange County,958959.3988995162
61790,NY,New York,Richmond County,684966.6339431069
62031,NY,New York,Kings County,1121613.8994595462
84639,IL,Chicago,Cook County,282364.9232820408
92341,TX,San Antonio,Bexar County,268084.6301732571
62030,NY,New York,Kings County,1349167.8275812475
96882,CA,Riverside,Riverside County,602115.206
92481,TX,Brownsville,Cameron County,152494.71374860257
62017,NY,New York,Kings County,1104932.0692215518
62032,NY,New York,Kings County,1229904.6363132044
61796,NY,New York,Bronx County,545322.2645018952
96825,CA,Hesperia,San Bernardino County,413103.7631
91968,TX,Sugar Land,Fort Bend County,523891.7657405673
96546,CA,Chula Vista,San Diego County,749650.9431469016
70828,GA,Lawrenceville,Gwinnett County,404652.68020155485
62034,NY,New York,Kings County,1222518.759528497
399727,TX,Edinburg,Hidalgo County,183198.61052034143
92551,TX,Cedar Park,Williamson County,489697.39654300426
62040,NY,New York,Kings County,1428231.0366008878
84646,IL,Chicago,Cook County,587058.6184644152
97104,CA,Oxnard,Ventura County,647875.5038
97970,CA,Watsonville,Santa Cruz County,826835.5797
96690,CA,San Diego,San Diego County,739300.4203020404
91922,TX,Cypress,Harris County,373927.9084273768
61798,NY,New York,Bronx County,554129.0909897125
96846,CA,Rialto,San Bernardino County,516815.4929
84693,IL,Cicero,Cook County,241999.36440511365
62088,NY,New York,Queens County,886806.2362202676
93146,TX,El Paso,El Paso County,242221.96070258398
97023,CA,Anaheim,Orange County,834746.6944586411
96468,CA,Chino,San Bernardino County,729259.5444
97431,CA,Fresno,Fresno County,383171.14061689755
97567,CA,San Francisco,San Francisco County,1081211.5196438446
100179,WA,Pasco,Franklin County,401967.2926004059
62045,NY,New York,Kings County,917920.4473121333
84633,IL,Chicago,Cook County,248130.62754402912
92045,TX,Pearland,Brazoria County,371992.46592587634
62039,NY,New York,Kings County,888480.5579278222
98432,CA,Sacramento,Sacramento County,423729.6967219524
92271,TX,New Braunfels,Comal County,333564.3607770856
84619,IL,Chicago,Cook County,152219.15975154878
67182,VA,Woodbridge,Prince William County,459568.32144858286
62043,NY,New York,Kings County,1130366.086462785
90769,TX,Dallas,Dallas County,204496.63128364095
61793,NY,New York,Bronx County,621640.2123470729
69431,NC,Wake Forest,Wake County,517191.94564694894
89925,OK,Yukon,Canadian County,256223.23347239848
91889,TX,Spring,Harris County,363125.2823789332
98848,HI,Ewa Beach,Honolulu County,883376.5135958148
62015,NY,New York,Kings County,1197636.8818717108
74126,TN,Clarksville,Montgomery County,271330.22038657806
417444,AZ,Queen Creek,Maricopa County,568706.6764753298
70810,GA,Suwanee,Gwinnett County,587992.9724
61808,NY,New York,Bronx County,458958.5160315223
93137,TX,Horizon City,El Paso County,239260.4072679912
97940,CA,Milpitas,Santa Clara County,1420731.9671327795
96488,CA,La Puente,Los Angeles County,659550.9690059229
84610,IL,Chicago,Cook County,350243.73444914987
62067,NY,New York,Queens County,1032464.5989651908
96888,CA,Jurupa Valley,Riverside County,586354.4825457023
92598,TX,San Marcos,Hays County,339493.8098563436
62014,NY,New York,Kings County,683839.4036837375
97189,CA,Porterville,Tulare County,300053.56552329543
97328,CA,Palmdale,Los Angeles County,440876.9091581884
84627,IL,Chicago,Cook County,473222.8307891001
61797,NY,New York,Bronx County,544807.6667322927
87074,KS,Olathe,Johnson County,389223.7455215328
96934,CA,Temecula,Riverside County,742190.9352698022
84625,IL,Chicago,Cook County,182960.38147633735
98325,CA,Folsom,Sacramento County,759958.9304367631
61792,NY,New York,Bronx County,452507.7094149779
69816,NC,Charlotte,Mecklenburg County,361210.00515669445
97073,CA,Eastvale,Riverside County,877183.1246486487
97751,CA,Hayward,Alameda County,843894.0856828656
96208,CA,Bellflower,Los Angeles County,748770.3692721337
92520,TX,Pharr,Hidalgo County,160050.2319319667
92576,TX,Leander,Williamson County,456204.9403153423
97318,CA,Lancaster,Los Angeles County,417816.8221593613
91950,TX,Missouri City,Fort Bend County,391664.35760832095
61809,NY,New York,Bronx County,617695.8222299794
61643,NY,New York,New York County,756202.1304879956
97004,CA,Santa Ana,Orange County,806504.1577290631
97202,CA,Tulare,Tulare County,327465.1399
62029,NY,New York,Kings County,1520618.3620048815
90638,TX,Frisco,Collin County,640719.9761774034
62023,NY,New York,Kings County,588729.2245797912
61802,NY,New York,Bronx County,623136.8029711343
96364,CA,Los Angeles,Los Angeles County,789890.4380134176
69450,NC,Raleigh,Wake County,322702.2014667808
84635,IL,Chicago,Cook County,332999.24216800625
71067,GA,,Fulton County,276441.96531700896
97740,CA,Fairfield,Solano County,534578.1692451349
69672,NC,Concord,Cabarrus County,394895.48624079116
73221,FL,Winter Garden,Orange County,583603.3241
95315,NM,Albuquerque,Bernalillo County,261321.30433523282
91325,TX,Fort Worth,Tarrant County,387865.9197755007
91732,TX,Houston,Harris County,263829.1645924061
61616,NY,New York,New York County,948990.1503348779
67732,VA,Virginia Beach,Virginia Beach City,373668.60231608193
91221,TX,Mansfield,Tarrant County,422235.9498751971
61806,NY,New York,Bronx County,592688.6356396888
62087,NY,New York,Queens County,1090275.485103664
99534,WA,Redmond,King County,1355835.8359056064
73233,FL,Port Saint Lucie,Saint Lucie County,402557.8875329611
72362,FL,Pembroke Pines,Broward County,480135.5302899668
72578,FL,,Palm Beach County,529748.5296681873
90612,TX,Allen,Collin County,471740.29689115286
93123,TX,El Paso,El Paso County,291130.49690780084
97319,CA,Lancaster,Los Angeles County,522149.6585244623
96467,CA,Chino Hills,San Bernardino County,927115.1819877895
96545,CA,Chula Vista,San Diego County,827397.9318065536
99500,WA,Bothell,Snohomish County,943477.6795
97721,CA,Brentwood,Contra Costa County,807188.4401649073
92515,TX,Mission,Hidalgo County,184335.13587239082
62179,NY,New York,Queens County,662784.4483635252
90764,TX,Cockrell Hill,Dallas County,234790.1614077584
94820,AZ,Chandler,Maricopa County,452096.8618915617
70825,GA,Cumming,Forsyth County,575886.2369866745
97435,CA,Fresno,Fresno County,407855.43689113273
95804,NV,Las Vegas,Clark County,346705.93937910744
96465,CA,Baldwin Park,Los Angeles County,662203.3261876559
95984,CA,Los Angeles,Los Angeles County,565016.4797
67180,VA,Woodbridge,Prince William County,446730.06814756716
96667,CA,San Diego,San Diego County,976733.9821185204
65787,PA,Philadelphia,Philadelphia County,153165.8083793465
70826,GA,Cumming,Forsyth County,623720.1503560272
91198,TX,Burleson,Johnson County,338046.7983768122
70835,GA,Loganville,Walton County,382968.2461140978
93203,CO,Aurora,Arapahoe County,484794.5348709286
62026,NY,New York,Kings County,2375774.862949693
90780,TX,Dallas,Dallas County,281726.19740613154
66126,DC,Washington,District of Columbia,753152.9522536626
86026,MO,Saint Peters,Saint Charles County,305051.8846040832
74242,TN,Nashville,Davidson County,413350.9395954856
84340,IL,Waukegan,Lake County,190400.0745943043
91291,TX,Fort Worth,Tarrant County,327017.69175827014
399724,TX,Richmond,Fort Bend County,381794.7495418079
